variable,tipo,ks_statistic,ks_pvalue,psi,psi_clasif,js_divergence,chi2_statistic,chi2_pvalue,alerta,criterios_disparados
capital_prestado,numerica,0.0731,0.0,0.0437,SIN_DRIFT,0.0039,,,DRIFT_MODERADO,KS
salario_cliente,numerica,0.0464,0.0001,0.0107,SIN_DRIFT,0.0006,,,DRIFT_MODERADO,KS
total_otros_prestamos,numerica,0.105,0.0,0.1297,DRIFT_MODERADO,0.0007,,,DRIFT_SEVERO,"KS,PSI"
cuota_pactada,numerica,0.124,0.0,0.0757,SIN_DRIFT,0.0087,,,DRIFT_MODERADO,KS
puntaje_datacredito,numerica,0.0218,0.2312,0.007,SIN_DRIFT,0.0023,,,SIN_DRIFT,
promedio_ingresos_datacredito,numerica,0.2211,0.0,0.3338,DRIFT_SEVERO,0.0018,,,DRIFT_SEVERO,"KS,PSI"
ratio_cuota_salario,numerica,0.0907,0.0,0.0597,SIN_DRIFT,0.0004,,,DRIFT_MODERADO,KS
ratio_capital_salario,numerica,0.048,0.0001,0.0261,SIN_DRIFT,0.0006,,,DRIFT_MODERADO,KS
ratio_otros_salario,numerica,0.1081,0.0,0.15,DRIFT_MODERADO,0.0002,,,DRIFT_SEVERO,"KS,PSI"
endeudamiento_total,numerica,0.0835,0.0,0.1172,DRIFT_MODERADO,0.0002,,,DRIFT_SEVERO,"KS,PSI"
plazo_meses,numerica,0.1885,0.0,0.1599,DRIFT_MODERADO,0.0388,,,DRIFT_SEVERO,"KS,PSI"
edad_cliente,numerica,0.0335,0.0121,0.0062,SIN_DRIFT,0.0016,,,DRIFT_MODERADO,KS
cant_creditosvigentes,numerica,0.0184,0.4221,0.0035,SIN_DRIFT,0.0011,,,SIN_DRIFT,
huella_consulta,numerica,0.0312,0.0239,0.007,SIN_DRIFT,0.0016,,,DRIFT_MODERADO,KS
creditos_sectorFinanciero,numerica,0.007,0.9999,0.0007,SIN_DRIFT,0.0014,,,SIN_DRIFT,
creditos_sectorCooperativo,numerica,0.0259,0.0948,0.0045,SIN_DRIFT,0.0011,,,SIN_DRIFT,
creditos_sectorReal,numerica,0.0214,0.2467,0.004,SIN_DRIFT,0.0018,,,SIN_DRIFT,
tiene_historial_datacredito,numerica,0.0004,1.0,,N/A,0.0,,,SIN_DRIFT,
multiples_sectores,numerica,0.0139,0.7688,0.0001,SIN_DRIFT,0.0003,,,SIN_DRIFT,
anio_prestamo,numerica,0.1861,0.0,,N/A,0.0934,,,DRIFT_MODERADO,KS
mes_prestamo,numerica,0.6798,0.0,2.1745,DRIFT_SEVERO,0.432,,,DRIFT_SEVERO,"KS,PSI,JS"
tipo_credito,categorica,,,,N/A,,32.3321,0.0,DRIFT_MODERADO,CHI2
tipo_laboral,categorica,,,,N/A,,0.0736,0.7861,SIN_DRIFT,
tendencia_ingresos,categorica,,,,N/A,,50.2206,0.0,DRIFT_MODERADO,CHI2
